Page URL,Actor Name,Image URL,,Trademark,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Dilip Kumar,"https://m.media-amazon.com/images/M/MV5BMzg0NTM0MjYxN15BMl5BanBnXkFtZTcwMzY1NTAzMQ@@._V1_UY317_CR102,0,214,317_AL__QL50.jpg",,"Trademark:
    His deep, rich voice",
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Kangana Ranaut,"https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY317_CR5,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Johnny Lever,"https://m.media-amazon.com/images/M/MV5BMjMyMTQzMjk1MV5BMl5BanBnXkFtZTgwMDg5MTMzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Meena Kumari,"https://m.media-amazon.com/images/M/MV5BMTM2NjQ1Nzg2N15BMl5BanBnXkFtZTcwNDkyNjAzMQ@@._V1_UY317_CR1,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Kanwaljit Singh,"https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR5,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Balraj Sahni,"https://m.media-amazon.com/images/M/MV5BZDgwMGMzMWUtMmQ1Yi00NjM0LTlkMDgtMTk5MmFkMWJhNDY1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Gulshan Grover,"https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Jaswinder Bhalla,,,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Mala Sinha,"https://m.media-amazon.com/images/M/MV5BMWUyNzlkMDEtMGY4My00M2QwLWEzYjktMzk1YjliNDhiYzc5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Kulbhushan Kharbanda,"https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY317_CR109,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Aruna Irani,"https://m.media-amazon.com/images/M/MV5BYWIzYjZkZTAtNDM0MS00YjBiLWJlMjItZDY1YTJhNjMxNTExXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Navin Nischol,"https://m.media-amazon.com/images/M/MV5BNzY5NWIxMDItMzZkNi00YzNiLTkyMWQtZDJlNzEwODA2MDNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR7,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Karuna Bannerjee,"https://m.media-amazon.com/images/M/MV5BMTg1MzAzMDg0OV5BMl5BanBnXkFtZTgwMjYzMTI1NTE@._V1_UY317_CR112,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Chiranjeevi,"https://m.media-amazon.com/images/M/MV5BOGQ4MTc3MWYtNmUxNi00Nzk3LWFjMDItM2Y1NmVmMDEyNWIxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",,null,
